Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
0,"",0,"",0,0,0,0,0,"",""
1,"soldat 3e classe",0,"soldats 3e classe",0,0,0,0,0,"soldat 3e classe","soldat 3e classe des tempêtes"
2,"soldat 2e classe",0,"soldats 2e classe",0,0,0,0,0,"soldat 2e classe","soldat 2e classe des tempêtes"
3,"soldat 1re classe",0,"soldats 1re classe",0,0,0,0,0,"soldat 1re classe","soldat 1re classe des tempêtes"
4,"caporal",0,"caporaux",0,0,0,0,0,"caporal","caporal des tempêtes"
5,"adjudant",0,"adjudants",0,1,0,0,0,"adjudant","adjudant des tempêtes"
6,"sergent",0,"sergents",0,0,0,0,0,"sergent","sergent des tempêtes"
7,"sergent-major",0,"sergents-majors",0,0,0,0,0,"sergent-major","sergent-major des tempêtes"
8,"major",0,"majors",0,0,0,0,0,"major","major des tempêtes"
9,"sous-lieutenant",0,"sous-lieutenants",0,0,0,0,0,"sous-lieutenant","sous-lieutenant des tempêtes"
10,"lieutenant",0,"lieutenants",0,0,0,0,0,"lieutenant","lieutenant des tempêtes"
11,"capitaine",0,"capitaines",0,0,0,0,0,"capitaine","capitaine des tempêtes"
12,"sous-commandant",0,"sous-commandants",0,0,0,0,0,"sous-commandant","sous-commandant des tempêtes"
13,"commandant",0,"commandants",0,0,0,0,0,"commandant","commandant des tempêtes"
14,"colonel",0,"colonels",0,0,0,0,0,"colonel","colonel des tempêtes"
15,"sous-maréchal",0,"sous-maréchaux",0,0,0,0,0,"sous-maréchal","sous-maréchal des tempêtes"
16,"vice-maréchal",0,"vice-maréchaux",0,0,0,0,0,"vice-maréchal","vice-maréchal des tempêtes"
17,"maréchal",0,"maréchaux",0,0,0,0,0,"maréchal","maréchal des tempêtes"
18,"grand maréchal",0,"grand maréchaux",0,0,0,0,0,"grand maréchal","grand maréchal des tempêtes"
19,"général",0,"généraux",0,0,0,0,0,"général","général des tempêtes"
