0,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_2","Wissbegierige Klamm ist mein Name. Ich komme aus dem fernen Norden, aus einem Dorf in den zerkl\xc3\xbcfteten Bergen von Abalathias R\xc3\xbcckgrat, um Abenteurer in der Kunst des K\xc3\xa4mpfens zu unterrichten und um sie zu echten Kriegern zu machen."
1,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_3","Mein Lehrer hat mich einst, vor der Katastrophe, in diese Region hier geschickt, damit ich Sammler bei ihrer wichtigen Arbeit besch\xc3\xbctze und meinen Kampfstil weiterentwickele."
2,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_1","He, du! Hast du das Zeug \x02\x08\x1f\xe9\x05\xff\x0ezur Kriegerin\xff\x0czum Krieger\x03?"
3,"TEXT_JOBDEFWAR_00090_Q1_000_1","Was m\xc3\xb6chtest du wissen?"
4,"TEXT_JOBDEFWAR_00090_A1_000_1","Wer bist du?"
5,"TEXT_JOBDEFWAR_00090_A1_000_2","Was bedeutet es, ein Krieger zu sein?"
6,"TEXT_JOBDEFWAR_00090_A1_000_3","Nichts."
7,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_5","Um es zu einem echten Krieger zu bringen, musst du die Urkraft, die in dir schlummert, wecken und deinen Kampfinstinkten freien Lauf lassen."
8,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_6","Fr\xc3\xbcher, als die Talente der Krieger \xc3\xbcberall in Eorzea gefragt waren, zogen viele junge M\xc3\xa4nner und Frauen aus meinem Dorf aus, um sich ein h\xc3\xbcbsches S\xc3\xbcmmchen als S\xc3\xb6ldner zu verdienen."
9,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_7","Aber heute gibt es kaum noch jemanden, der die alten Techniken des Kriegers an die n\xc3\xa4chste Generation weitergibt. Vieles davon ist in Vergessenheit geraten."
10,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_8","Ich muss gestehen, dass ich das Meiste, was ich \xc3\xbcber die Geschichte der Krieger wei\xc3\x9f, aus einer alten Schrift des letzten Gro\xc3\x9fmeisters gelernt habe."
11,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_010","Wie ist es dir ergangen, \x02\x08(\xe9\x05\xff\x12tapfere Kriegerin\xff\x11tapferer Krieger\x03?"
12,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_120","Hallo, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03! Wie l\xc3\xa4uft dein Training? Ich bin dabei, den Kampf mit der Axt von Grund auf ganz neu zu erlernen. Es ist ein langer Weg, macht aber auch Spa\xc3\x9f!"
13,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_150","Na, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03, wie geht's dir? Freust du dich auch schon so sehr auf unseren Zweikampf wie ich? Daf\xc3\xbcr trainiere ich Tag und Nacht."
14,"TEXT_JOBDEFWAR_00090_Q2000_1","Was m\xc3\xb6chtest du wissen?"
15,"TEXT_JOBDEFWAR_00090_A2_000_1","Was gibt es Neues?"
16,"TEXT_JOBDEFWAR_00090_A2_000_2","Was bedeutet es, ein Krieger zu sein?"
17,"TEXT_JOBDEFWAR_00090_A2_000_3","Nichts."
18,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_100","Mein Bruder, Gebrochener Berg, ist noch nicht vollkommen genesen. Aber er ist nicht zu bremsen und hat sich bereits wieder dem Training gewidmet. Um ein richtiger Krieger zu werden."
19,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_101","Und er gibt sich beste M\xc3\xbche, den Bewohnern von Weinhafen zu helfen, wo er nur kann. Das ist er ihnen schuldig."
20,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_130","Um wieder in Form zu kommen, erledige ich einen Auftrag f\xc3\xbcr den Mahlstrom, den mir Wheiskaet vermittelt hat."
21,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_131","Mein Bruder hat seine Axt an den Nagel geh\xc3\xa4ngt und l\xc3\xa4sst sich in Camp Bronzesee behandeln. Au\xc3\x9ferdem verbringt er viel Zeit damit, die alte Schrift des letzten Gro\xc3\x9fmeisters zu studieren."
22,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_132","Das ist seine Art, an der Verwirklichung unseres Traumes zu arbeiten, w\xc3\xa4hrend ich da eher praktisch veranlagt bin. Unser Ziel ist dasselbe: die Verbreitung der Kriegerkunst in ganz Eorzea!"
23,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_160","Machst du dir Sorgen, ob ich der neuen Aufgabe gewachsen bin? Das brauchst du nicht. Mein Bruder und ich freuen uns darauf, Krieger f\xc3\xbcr den Mahlstrom auszubilden. Damit geht ein Traum in Erf\xc3\xbcllung."
24,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_161","Mein Bruder \xc3\xbcbernimmt die theoretische Lehre. Schlie\xc3\x9flich kennt er die Schrift des letzten Gro\xc3\x9fmeisters in- und auswendig."
25,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_162","Es wird nicht lange dauern, bis die von uns ausgebildeten Krieger die Schlachtfelder aufmischen. Du wirst schon sehen!"
26,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_163","Vorerst habe ich viel zu tun, aber keine Sorge, unseren Zweikampf werde ich nicht vergessen. Trainiere sch\xc3\xb6n flei\xc3\x9fig, damit es ein spannender Kampf wird!"
27,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_110","Um es zu einem echten Krieger zu bringen, musst du die Urkraft, die in dir schlummert, wecken und deinen Kampfinstinkten freien Lauf lassen."
28,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_111","Fr\xc3\xbcher, als die Talente der Krieger \xc3\xbcberall in Eorzea gefragt waren, zogen viele junge M\xc3\xa4nner und Frauen aus meinem Dorf aus, um sich ein h\xc3\xbcbsches S\xc3\xbcmmchen als S\xc3\xb6ldner zu verdienen."
29,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_112","Aber heute gibt es kaum noch jemanden, der die alten Techniken des Kriegers an die n\xc3\xa4chste Generation weitergibt. Vieles davon ist in Vergessenheit geraten."
30,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_113","Ich muss gestehen, dass ich das Meiste, was ich \xc3\xbcber die Geschichte der Krieger wei\xc3\x9f, aus einer alten Schrift des letzten Gro\xc3\x9fmeisters gelernt habe."
31,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_140","Das fragst du mich?! Du bist doch \x02\x08C\xe9\x05\xff eine viel m\xc3\xa4chtigere Kriegerin\xff\x1eein viel m\xc3\xa4chtigerer Krieger\x03 als ich. Aber wenn du unbedingt willst, erkl\xc3\xa4re ich es in meinen Worten."
32,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_141","Um es zu einem echten Krieger zu bringen, musst du die Urkraft, die in dir schlummert, wecken und deinen Kampfinstinkten freien Lauf lassen."
33,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_142","Allerdings birgt das die gro\xc3\x9fe Gefahr, von der Urkraft \xc3\xbcberw\xc3\xa4ltigt zu werden und dadurch die Kontrolle \xc3\xbcber sich zu verlieren. Deshalb wurden Krieger aus Eorzea verbannt."
34,"TEXT_JOBDEFWAR_00090_CURIOUSGORGE_000_143","Das Problem gilt es zu l\xc3\xb6sen, damit Krieger endlich wieder in Eorzea Fu\xc3\x9f fassen k\xc3\xb6nnen. Mein Bruder hofft, in der Schrift des letzten Gro\xc3\x9fmeisters Hinweise auf eine L\xc3\xb6sung zu finden."
