0,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_JALZAHN_000_000","\xe7\xb5\xb6\xe9\x9c\x8a\xe5\x8c\x96\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x8c\xe5\x8f\xa4\xe3\x81\xae\xe6\xad\xa6\xe5\x99\xa8\xe3\x80\x8d\xe3\x81\xae\xe3\x80\x8c\xe9\xad\x82\xe3\x81\xae\xe5\xae\x9a\xe7\x9d\x80\xe3\x80\x8d\xe3\x82\x92\xe7\xb5\x82\xe3\x81\x88\xe3\x81\x9f\xe3\x81\x8b\xef\xbc\x9f\x02\x10\x01\x03\xe3\x81\x95\xe3\x81\x81\xe3\x80\x81\xe7\xa7\x81\xe3\x81\xab\xe8\xa6\x8b\xe3\x81\x9b\xe3\x81\xa6\xe3\x81\xbf\xe3\x82\x8b\xe3\x81\x8c\xe3\x82\x88\xe3\x81\x84\xe3\x80\x82"
1,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_MENU_TITLE","\xe5\xbc\xb7\xe5\x8c\x96\xe3\x81\x99\xe3\x82\x8b\xe3\x80\x8c\xe5\x8f\xa4\xe3\x81\xae\xe6\xad\xa6\xe5\x99\xa8\xe3\x83\xbb\xe3\x83\x8e\xe3\x82\xa6\xe3\x82\xb9\xe3\x80\x8d\xe3\x82\x92\xe9\x81\xb8\xe6\x8a\x9e\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84"
2,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_MENU_CHOICES","\xe3\x80\x8c\x02(\n\xff\x05Item\xe8\x02\x01\x03\xe3\x80\x8d\xe3\x82\x92\xe5\xbc\xb7\xe5\x8c\x96\xe3\x81\x99\xe3\x82\x8"
3,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_MENU_CANCEL","\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xb3\xe3\x82\xbb\xe3\x83\xa"
4,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_YESNO_MESSAGE","\xe3\x80\x8c\x02(\n\xff\x05Item\xe8\x02\x01\x03\xe3\x80\x8d\xe3\x82\x92\xe5\xbc\xb7\xe5\x8c\x96\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f"
5,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_YESNO_YES","\xe3\x81\xaf\xe3\x81\x84"
6,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_YESNO_NO","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
7,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_JALZAHN_000_030","\xe3\x81\xb5\xe3\x82\x80\xe3\x80\x81\xe3\x80\x8c\x02(\n\xff\x05Item\xe8\x02\x01\x03\xe3\x80\x8d\xe3\x81\x8c\xe8\xa6\x8b\xe5\xbd\x93\xe3\x81\x9f\xe3\x82\x89\xe3\x81\xac\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\x02\x10\x01\x03\xe3\x81\x98\xe3\x81\xa3\xe3\x81\x8f\xe3\x82\x8a\xe8\xa6\x8b\xe3\x81\x9b\xe3\x81\xa6\xe8\xb2\xb0\xe3\x81\x88\xe3\x81\xad\xe3\x81\xb0\xe3\x80\x81\xe3\x80\x8c\xe5\x8f\xa4\xe3\x81\xae\xe6\xad\xa6\xe5\x99\xa8\xe3\x80\x8d\xe3\x81\xae\xe5\xbc\xb7\xe5\x8c\x96\xe3\x81\xaf\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xac\xe3\x81\x9e\xef\xbc\x9f"
8,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_SYSTEM_000_031","\xe3\x80\x8c\x02(\n\xff\x05Item\xe8\x02\x01\x03\xe3\x80\x8d\xe3\x81\xae\xe5\xbc\xb7\xe5\x8c\x96\xe3\x82\x92\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xab\xe3\x81\xaf\xe3\x80\x81\x02\x10\x01\x03\xe8\xa3\x85\xe5\x82\x99\xe3\x82\x92\xe5\xa4\x96\xe3\x81\x97\xe3\x81\xa6\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\xbc\xe3\x83\x9e\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\x81\xe3\x82\xa7\xe3\x82\xb9\xe3\x83\x88\xe3\x80\x8d\xe3\x81\x8b\xe3\x80\x8c\xe6\x89\x80\xe6\x8c\x81\xe5\x93\x81\xe3\x80\x8d\xe3\x81\xab\xe5\x8f\x8e\xe7\xb4\x8d\xe3\x81\x97\xe3\x80\x81\x02\x10\x01\x03\xe3\x82\xb8\xe3\x83\xa3\xe3\x83\xab\xe3\x82\xb6\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\xab\xe8\xa9\xb1\xe3\x81\x97\xe3\x81\x8b\xe3\x81\x91\xe3\x82\x8b\xe5\xbf\x85\xe8\xa6\x81\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82"
9,"TEXT_CMNDEFRELICWEAPON040TRADE_00208_JALZAHN_000_040","\xe3\x80\x8c\x02(\n\xff\x05Item\xe8\x02\x01\x03\xe3\x80\x8d\xe3\x81\xaf\xe7\xb5\xb6\xe9\x9c\x8a\xe5\x8c\x96\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xa6\xe3\x81\x8a\xe3\x82\x89\xe3\x81\xac\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\x02\x10\x01\x03\xe3\x80\x8c\xe5\x8f\xa4\xe3\x81\xae\xe6\xad\xa6\xe5\x99\xa8\xe3\x80\x8d\xe3\x81\xae\xe7\xb5\xb6\xe9\x9c\x8a\xe5\x8c\x96\xe3\x82\x92\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x91\xe3\x82\x8c\xe3\x81\xb0\xe3\x80\x81\xe3\x81\x9d\xe3\x81\x86\xe8\xa8\x80\xe3\x81\x84\xe3\x81\x9f\xe3\x81\xbe\xe3\x81\x88\xe3\x80\x82"
