0,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_Q1_000_000","Welchen Teil m\xc3\xb6chtest du dir ansehen?"
1,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_001","Den Kopf."
2,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_002","Den Rumpf."
3,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_003","Die F\xc3\xbc\xc3\x9fe."
4,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_004","Den ganzen K\xc3\xb6rper."
5,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_005","Abbrechen."
6,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_006","Von hinten ansehen."
7,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_A1_000_007","Von vorne ansehen."
8,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SYSTEM_700_050","Pr\xc3\xa4g dir den vergr\xc3\xb6\xc3\x9ferten Abschnitt gut ein!"
9,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SYSTEM_700_051","Vergleiche die dubiosen Abenteurer mit dem Nichtsj\xc3\xa4ger. Wenn sie ihm nur \xc3\xa4hneln, hast du den Falschen. Der Imp ist der in der perfekten Verkleidung!"
10,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM01_000_000","Schau gut hin, Freundchen, damit du mich auch ja wiedererkennst."
11,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM01_000_001","Dann leg mal los, Sp\xc3\xbcrnase. Wollen wir doch mal sehen, wie schnell du den widerlichen Imp aufsp\xc3\xbcrst!"
12,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM02_000_005","Du willst dir meine Erscheinung einpr\xc3\xa4gen, um den Imp ausfindig zu machen? Bitte sehr."
13,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM02_000_006","Hast du dir alles gut eingepr\xc3\xa4gt? Dann geh und fang den doppelz\xc3\xbcngigen Doppelg\xc3\xa4nger!"
14,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM03_000_010","Guck gut hin - ich habe links mehr Nasenhaare als rechts, siehst du?"
15,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM03_000_011","Bist du so weit? Viel Erfolg bei der Imp-Jagd!"
16,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM04_000_015","Selbstverst\xc3\xa4ndlich kannst du mal genauer hinsehen. Ich biete meine volle Unterst\xc3\xbctzung an."
17,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM04_000_016","Du bist jederzeit herzlichst eingeladen, noch mal einen genaueren Blick auf mich zu werfen."
18,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM05_000_020","Sieh nur hin, ich habe nichts zu verbergen!"
19,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERM05_000_021","Und jetzt schnapp den hinterh\xc3\xa4ltigen Identit\xc3\xa4tsdieb!"
20,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF01_100_000","Stier mich nicht so an, du ...! Ach, es geht um einen Imp?"
21,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF01_100_001","Es geht doch auch wirklich um einen Imp? Oder wolltest du mich nur begutachten?"
22,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF02_100_005","Ja, schau nur her! \x02\x1a\x02\x02\x03Das hier\x02\x1a\x02\x01\x03 bekommst du eh nicht!"
23,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF02_100_006","Ach, es war wegen des Imps? Ja, wenn das so ist ... helfe ich dir nat\xc3\xbcrlich jederzeit wieder."
24,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF03_100_010","Da l\xc3\xa4uft eine rum, die so aussieht wie ich! Sieh genau hin, \x02\x08\x18\xe9\x05\xff\nP\xc3\xbcppchen\xff\tB\xc3\xbcbchen\x03!"
25,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF03_100_011","Siehst du? Alles echt! Und jetzt find dieses billige Imp-Imitat!"
26,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF04_100_015","Ich bin die echte Ich! Ich schw\xc3\xb6re es dir! Sieh doch mal genau hin!"
27,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF04_100_016","Siehst du? Ich bin's, genau wie ich es dir gesagt habe. Jetzt musst du nur noch die echte Falsche finden. Ich meine, die falsche Ich ... Hach, du wei\xc3\x9ft schon, den Imp!"
28,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF05_100_020","Du willst mich studieren, um dem Imp auf die Schliche zu kommen? Bitte sehr."
29,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_MIDLANDERF05_100_021","Gern geschehen. Wenn's weiter nichts ist ... Ich helfe gerne."
30,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER01_200_000","Was gibt's hier zu gucken?"
31,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER01_200_001","Jetzt lauf schon los und hol den Lump! Dem werd ich seine Sp\xc3\xa4\xc3\x9fe schon austreiben!"
32,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER02_200_005","Da l\xc3\xa4uft einer rum, und gibt sich f\xc3\xbcr mich aus! Damit bin ich nat\xc3\xbcrlich gar nicht einverstanden ... Nur zu, sieh genau hin!"
33,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER02_200_006","Hoffentlich kannst du den Misset\xc3\xa4ter identifizieren. Ich stehe dir jederzeit wieder zur Verf\xc3\xbcgung."
34,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER03_200_010","Hallooo, \x02\x08\x1d\xe9\x05\xff\x0bholde Maid\xff\rsch\xc3\xb6ner Bub\x03! Interesse?"
35,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER03_200_011","Wie? Das war schon alles? Ich hab noch mehr zu bieten! Warte ...!"
36,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER04_200_015","Ich dacht, ich guck nicht richtig, der sieht ja aus wie ich! Und schon war er wieder weg ... Hoffentlich findest du den Schelm. Sieh genau hin!"
37,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER04_200_016","Hast du dir alles gut eingepr\xc3\xa4gt? Nicht auszudenken, was f\xc3\xbcr einen Unfug der Imp in meinem guten Namen anstellen k\xc3\xb6nnte ..."
38,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER05_200_020","Bitte, tu dir keinen Zwang an. Man hat in diesen turbulenten Zeiten viel zu selten Gelegenheit, einander in die Augen zu sehen."
39,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_HIGHLANDER05_200_021","Das hat gut getan. K\xc3\xb6nnen wir jederzeit wieder machen."
40,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN01_300_000","Angucken ist okay - aber nicht anfassen, h\xc3\xb6rst du?"
41,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN01_300_001","Jetzt reicht es aber. Los, fang den Imp!"
42,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN02_300_005","Dieser Imp gibt sich f\xc3\xbcr mich aus! So ein unversch\xc3\xa4mtes Biest!"
43,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN02_300_006","Schnapp dir den schamlosen Kerl und zeig's ihm!"
44,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN03_300_010","Pr\xc3\xa4g dir gut ein, wie ich aussehe."
45,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN03_300_011","Hoffentlich findest du die Doppelg\xc3\xa4ngerin. Dann kann ich meinem Geliebten alles erkl\xc3\xa4ren."
46,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN04_300_015","Puh, bin ich m\xc3\xbcde. Ganz sch\xc3\xb6n aufregend, dieses Imitiertwerden. Ich freu mich schon auf eine warme Decke und ein Sch\xc3\xa4lchen Milch."
47,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN04_300_016","Jetzt mach ich aber mein wohlverdientes Nickerchen - dir viel Erfolg bei der Imp-Jagd!"
48,"TEXT_CMNGSCGATEHIDDENOBJECT_00248_SEEKEROFTHESUN05_300_020","Hm, hier im Gold Saucer arbeiten viele Miqo'te ... Da wirst du es nicht leicht haben. Pr\xc3\xa4g dir alle Einzelheiten gut ein."
