0,"TEXT_CLSROG200_00146_SEQ_00","Jack scheint darauf erpicht zu sein, die gestohlenen Sch\xc3\xa4tze des Mahlstroms ausfindig zu machen."
1,"TEXT_CLSROG200_00146_SEQ_01","Jack hat den Wettstreit, den Kapit\xc3\xa4nleutnant Milala ausgerufen hat, akzeptiert und hat seine Schurken losgeschickt, um Informationen \xc3\xbcber diesen dreisten Diebstahl zu sammeln. W\xc3\xa4hrend Perimu euch \xc3\xbcber die Art der drei Sch\xc3\xa4tze aufkl\xc3\xa4rt, taucht pl\xc3\xb6tzlich V'kebbe mit dringenden Neuigkeiten auf. Es sieht so aus, als w\xc3\xa4ren die Gelbjacken bei einer Routineinspektion an einem Grenzposten auf einige der dem Mahlstrom gestohlenen Waren gesto\xc3\x9fen. Der Gildenmeister entsendet daraufhin Leichtfu\xc3\x9f und dich ins zentrale La Noscea, um der Sache auf den Grund zu gehen. Begib dich zum La Thagran-Grenzposten und triff dich mit Perimu Haurimu."
2,"TEXT_CLSROG200_00146_SEQ_02","Perimu kann best\xc3\xa4tigen, dass in der Tat ein H\xc3\xa4ndler festgenommen wurde, da er gestohlene Waren von dem Mahlstrom-Transportschiff bei sich trug. Benutze das Kommando \xe2\x80\x9eVerstecken\xe2\x80\x9c, um dich den Gelbjacken zu n\xc3\xa4hern, die die Fracht untersuchen, und versuche etwas \xc3\xbcber diese herauszufinden."
3,"TEXT_CLSROG200_00146_SEQ_03","Du hast erfahren, dass die beschlagnahmte Fracht nichts von Wert enth\xc3\xa4lt. Erstatte Perimu Haurimu nahe des La Thagran-Grenzpostens Bericht."
4,"TEXT_CLSROG200_00146_SEQ_04","Perimu ist erleichtert, da die Sch\xc3\xa4tze noch nicht gefunden wurden, aber er wundert sich \xc3\xbcber die Absichten des Schmugglers. Finde den Schwarzmarkth\xc3\xa4ndler an der Feldscheune und decke die Gr\xc3\xbcnde daf\xc3\xbcr auf, warum der H\xc3\xa4ndler den Grenzposten nicht gemieden hat."
5,"TEXT_CLSROG200_00146_SEQ_05","Du findest den Unterweltkollegen von Leichtfu\xc3\x9f und musst dich seiner Qiqirn-Leibw\xc3\xa4chter entledigen. Sprich noch einmal mit dem Schwarzmarkth\xc3\xa4ndler an der Feldscheune."
6,"TEXT_CLSROG200_00146_SEQ_06","Nachdem du den zwielichtigen Schwarzmarkth\xc3\xa4ndler befragt hast, bist du dir ziemlich sicher, dass der ungl\xc3\xbcckselige Kerl am Grenzposten absichtlich auffliegen sollte. Zu Perimus \xc3\x9cberraschung erf\xc3\xa4hrst du zudem, dass die Verantwortlichen f\xc3\xbcr den \xc3\x9cberfall - die Kl\xc3\xa4ffenden K\xc3\xb6ter - sich in den dichten Nebeln der Teufelssee versteckt halten sollen. Eile zur\xc3\xbcck zur Schurkengilde und berichte Jack von deinen Entdeckungen."
7,"TEXT_CLSROG200_00146_SEQ_07","Angesichts der Enth\xc3\xbcllungen, die du an der Feldscheune gemacht hast, organisiert Jack unverz\xc3\xbcglich eine Expedition in die Teufelssee. Reise zu den Moraby-Trockendocks im unteren La Noscea und begleite V'kebbe und den Gildenmeister bei der Jagd auf die Kl\xc3\xa4ffenden K\xc3\xb6ter."
8,"TEXT_CLSROG200_00146_SEQ_08","Du hast die Kl\xc3\xa4ffenden K\xc3\xb6ter an Bord ihres Schiffes besiegt und den au\xc3\x9fergew\xc3\xb6hnlichen blauen Diamanten, der als Blauer Stern bekannt ist, an dich gebracht. Sprich mit Jack an den Moraby-Trockendocks."
9,"TEXT_CLSROG200_00146_SEQ_09","Jack wird bei seinen Ausf\xc3\xbchrungen \xc3\xbcber eine gerechte Strafe f\xc3\xbcr die \xc3\x9cbelt\xc3\xa4ter durch die Ankunft von Kapit\xc3\xa4nleutnant Milala unterbrochen und gibt sich damit zufrieden, die Kl\xc3\xa4ffenden K\xc3\xb6ter in den Gewahrsam der Gelbjacken zu \xc3\xbcbergeben. Kehre in die Schurkengilde zur\xc3\xbcck und sprich mit Jack \xc3\xbcber das weitere Vorgehen f\xc3\xbcr den Job, der auf einmal deutlich komplizierter geworden zu sein scheint."
10,"TEXT_CLSROG200_00146_SEQ_10","Dem Kapit\xc3\xa4n der Kl\xc3\xa4ffenden K\xc3\xb6ter zufolge befinden sich die verbleibenden Sch\xc3\xa4tze in den H\xc3\xa4nden einer mysteri\xc3\xb6sen Gruppe, die sich \xe2\x80\x9eGalgenv\xc3\xb6gel\xe2\x80\x9c nennt. Jack ist sich zwar nicht vollkommen sicher, was die Identit\xc3\xa4t dieses neuen Gegners angeht, aber er ist hinreichend besorgt, um dir gegen\xc3\xbcber seinen Wunsch zu bekr\xc3\xa4ftigen, dass du deine F\xc3\xa4higkeiten als Schurk\x02\x08\n\xe9\x05\xff\x03in\xff\x02e\x03 weiter verfeinern m\xc3\xb6gest. Setze dein Training fort, bis deine Fertigkeiten den Gildenmeister zufriedenstellen.\x02\x10\x01\x03\x02\x10\x01\x03\xe2\x80\xbb Sobald du als Schurk\x02\x08\n\xe9\x05\xff\x03in\xff\x02e\x03 Stufe 25 erreicht hast, kannst du bei Jack einen neuen Auftrag erhalten."
11,"TEXT_CLSROG200_00146_SEQ_11",
12,"TEXT_CLSROG200_00146_SEQ_12",
13,"TEXT_CLSROG200_00146_SEQ_13",
14,"TEXT_CLSROG200_00146_SEQ_14",
15,"TEXT_CLSROG200_00146_SEQ_15",
16,"TEXT_CLSROG200_00146_SEQ_16",
17,"TEXT_CLSROG200_00146_SEQ_17",
18,"TEXT_CLSROG200_00146_SEQ_18",
19,"TEXT_CLSROG200_00146_SEQ_19",
20,"TEXT_CLSROG200_00146_SEQ_20",
21,"TEXT_CLSROG200_00146_SEQ_21",
22,"TEXT_CLSROG200_00146_SEQ_22",
23,"TEXT_CLSROG200_00146_SEQ_23",
24,"TEXT_CLSROG200_00146_TODO_00","Mit Perimu Haurimu nahe des La Thagran-Grenzpostens sprechen"
25,"TEXT_CLSROG200_00146_TODO_01","Verstecken benutzen, um am La Thagran-Grenzposten Informationen zu sammeln"
26,"TEXT_CLSROG200_00146_TODO_02","Perimu Haurimu Bericht erstatten"
27,"TEXT_CLSROG200_00146_TODO_03","Den Schwarzmarkth\xc3\xa4ndler bei der Feldscheune finden"
28,"TEXT_CLSROG200_00146_TODO_04","Mit dem Schwarzmarkth\xc3\xa4ndler sprechen"
29,"TEXT_CLSROG200_00146_TODO_05","Mit Jack in der Schurkengilde sprechen"
30,"TEXT_CLSROG200_00146_TODO_06","Jack an den Moraby-Trockendocks treffen und die Kl\xc3\xa4ffenden K\xc3\xb6ter verfolgen"
31,"TEXT_CLSROG200_00146_TODO_07","Mit Jack an den Moraby-Trockendocks sprechen"
32,"TEXT_CLSROG200_00146_TODO_08","Mit Jack in der Schurkengilde sprechen"
33,"TEXT_CLSROG200_00146_TODO_09",
34,"TEXT_CLSROG200_00146_TODO_10",
35,"TEXT_CLSROG200_00146_TODO_11",
36,"TEXT_CLSROG200_00146_TODO_12",
37,"TEXT_CLSROG200_00146_TODO_13",
38,"TEXT_CLSROG200_00146_TODO_14",
39,"TEXT_CLSROG200_00146_TODO_15",
40,"TEXT_CLSROG200_00146_TODO_16",
41,"TEXT_CLSROG200_00146_TODO_17",
42,"TEXT_CLSROG200_00146_TODO_18",
43,"TEXT_CLSROG200_00146_TODO_19",
44,"TEXT_CLSROG200_00146_TODO_20",
45,"TEXT_CLSROG200_00146_TODO_21",
