0,"TEXT_CLSGLA150_00262_SEQ_00","\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x82\xae\xe3\x83\xab\xe3\x83\x89\xe3\x81\xae\xe3\x83\x9f\xe3\x83\xa9\xe3\x81\xaf\xe5\x86\x92\xe9\x99\xba\xe8\x80\x85\xe3\x81\xab\xe8\xaa\xb2\xe9\xa1\x8c\xe3\x82\x92\xe4\xb8\x8e\xe3\x81\x88\xe3\x81\x9f\xe3\x81\x84\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82"
1,"TEXT_CLSGLA150_00262_SEQ_01","\xe5\xbc\x93\xe3\x82\x92\xe4\xbd\xbf\xe3\x81\x86\xe3\x82\xa2\xe3\x83\x9e\xe3\x83\xab\xe3\x82\xb8\xe3\x83\xa3\xe6\x97\x8f\xe3\x81\x8c\xe5\x95\x86\xe4\xba\xba\xe3\x82\x92\xe8\xa5\xb2\xe3\x81\x86\xe4\xba\x8b\xe4\xbb\xb6\xe3\x81\x8c\xe5\xa4\x9a\xe7\x99\xba\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\xe3\x80\x8c\xe3\x83\x89\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x9c\xe3\x83\xbc\xe3\x83\xb3\xe3\x80\x8d\xe3\x81\xae\xe6\x9d\xb1\xe3\x81\xa7\xe3\x80\x8c\xe8\xb2\xa0\xe5\x82\xb7\xe3\x81\x97\xe3\x81\x9f\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x80\x8d\xe3\x81\xab\xe8\xa9\xb1\xe3\x81\x97\xe3\x81\x8b\xe3\x81\x91\xe3\x80\x81\xe8\xa5\xb2\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8b\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\x9e\xe3\x83\xab\xe3\x82\xb8\xe3\x83\xa3\xe3\x83\xbb\xe3\x83\xa9\xe3\x81\xb9\xe3\x82\xb8\xe3\x83\xa3\xe3\x83\xbc\xe3\x80\x8d\xe3\x82\x92\xe5\x80\x92\xe3\x81\x9d\xe3\x81\x86\xe3\x80\x82"
2,"TEXT_CLSGLA150_00262_SEQ_02","\xe5\xbc\x93\xe3\x81\xab\xe8\x87\x86\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xaa\xe3\x81\x8f\xe6\x88\xa6\xe3\x81\x84\xe3\x80\x81\xe3\x82\xa2\xe3\x83\x9e\xe3\x83\xab\xe3\x82\xb8\xe3\x83\xa3\xe6\x97\x8f\xe3\x82\x92\xe5\x80\x92\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe3\x80\x8c\xe8\xb2\xa0\xe5\x82\xb7\xe3\x81\x97\xe3\x81\x9f\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x80\x8d\xe3\x81\xab\xe8\xa9\xb1\xe3\x81\x97\xe3\x81\x8b\xe3\x81\x91\xe3\x81\xa6\xe7\x84\xa1\xe4\xba\x8b\xe3\x82\x92\xe7\xa2\xba\xe8\xaa\x8d\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
3,"TEXT_CLSGLA150_00262_SEQ_03","\xe8\xb2\xa0\xe5\x82\xb7\xe3\x81\x97\xe3\x81\x9f\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x81\xaf\xe5\x91\xbd\xe3\x81\xab\xe5\x88\xa5\xe7\x8a\xb6\xe3\x81\xaf\xe3\x81\xaa\xe3\x81\x84\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\xe3\x80\x8c\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x82\xae\xe3\x83\xab\xe3\x83\x89\xe3\x80\x8d\xe3\x81\xab\xe6\x88\xbb\xe3\x81\xa3\xe3\x81\xa6\xe3\x80\x8c\xe3\x83\x9f\xe3\x83\xa9\xe3\x80\x8d\xe3\x81\xab\xe5\xa0\xb1\xe5\x91\x8a\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
4,"TEXT_CLSGLA150_00262_SEQ_04","\xe5\xbd\xbc\xe5\xa5\xb3\xe3\x81\xaf\xe5\x86\x92\xe9\x99\xba\xe8\x80\x85\xe3\x81\xae\xe6\xb4\xbb\xe8\xba\x8d\xe3\x82\x92\xe8\xaa\x8d\xe3\x82\x81\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\xe5\xa0\xb1\xe5\x91\x8a\xe3\x81\xae\xe6\x9c\x80\xe4\xb8\xad\xe3\x81\xab\xe3\x80\x81\xe7\xaa\x81\xe7\x84\xb6\xe7\x8f\xbe\xe3\x82\x8c\xe3\x81\x9f\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x87\xe3\x82\xa3\xe3\x82\xb9\xe3\x80\x82\xe4\xbd\x95\xe3\x82\x84\xe3\x82\x89\xe3\x83\x9f\xe3\x83\xa9\xe3\x81\xa8\xe5\x9b\xa0\xe7\xb8\x81\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x81\x8c\xe3\x80\x81\xe5\xbd\xbc\xe3\x81\xaf\xe5\x86\x92\xe9\x99\xba\xe8\x80\x85\xe3\x81\xa8\xe8\xa9\xb1\xe3\x81\x8c\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x84\xe3\x81\xa8\xe3\x81\x84\xe3\x81\x86\xe3\x80\x82\xe3\x80\x8c\xe3\x82\xaf\xe3\x82\xa4\xe3\x83\x83\xe3\x82\xaf\xe3\x82\xb5\xe3\x83\xb3\xe3\x83\x89\xe3\x80\x8d\xe3\x81\xb8\xe8\xa1\x8c\xe3\x81\x8d\xe3\x80\x81\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x87\xe3\x82\xa3\xe3\x82\xb9\xe3\x80\x8d\xe3\x81\xa8\xe8\xa9\xb1\xe3\x81\x9d\xe3\x81\x86\xe3\x80\x82"
5,"TEXT_CLSGLA150_00262_SEQ_05","\xe8\xa9\xb1\xe3\x81\xae\xe6\x9c\x80\xe4\xb8\xad\xe3\x81\xab\xe8\xa5\xb2\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8d\xe3\x81\x9f\xe5\xbc\x93\xe8\xa1\x93\xe5\xa3\xab\xe3\x81\xaf\xe3\x80\x81\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x87\xe3\x82\xa3\xe3\x82\xb9\xe3\x82\x92\xe7\x8b\x99\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x84\xe3\x81\x9f\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe2\x80\xa6\xe2\x80\xa6\xe3\x80\x82\xe4\xb8\x80\xe5\xba\xa6\xe3\x80\x8c\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x82\xae\xe3\x83\xab\xe3\x83\x89\xe3\x80\x8d\xe3\x81\xab\xe6\x88\xbb\xe3\x82\x8a\xe3\x80\x8c\xe3\x83\x9f\xe3\x83\xa9\xe3\x80\x8d\xe3\x81\xa8\xe8\xa9\xb1\xe3\x81\x9d\xe3\x81\x86\xe3\x80\x82"
6,"TEXT_CLSGLA150_00262_SEQ_06","\xe3\x83\x9f\xe3\x83\xa9\xe3\x81\xa8\xe8\xa9\xb1\xe3\x82\x92\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\x9f\xe3\x80\x82\xe5\xbd\xbc\xe5\xa5\xb3\xe3\x81\x8b\xe3\x82\x89\xe6\x8e\x88\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe6\x88\xa6\xe6\x8a\x80\xe3\x82\x92\xe6\xb4\xbb\xe7\x94\xa8\xe3\x81\x97\xe3\x80\x81\xe3\x81\x95\xe3\x82\x89\xe3\x81\xab\xe8\x85\x95\xe3\x82\x92\xe3\x81\x82\xe3\x81\x92\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82\x02\x10\x01\x03\x02\x10\x01\x03\xe2\x80\xbb\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x81\xae\xe3\x83\xac\xe3\x83\x99\xe3\x83\xab\xe3\x81\x8c20\xe4\xbb\xa5\xe4\xb8\x8a\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8b\xe3\x81\xa8\xe3\x80\x81\xe3\x83\x9f\xe3\x83\xa9\xe3\x81\x8b\xe3\x82\x89\xe6\xac\xa1\xe3\x81\xae\xe5\x89\xa3\xe8\xa1\x93\xe5\xa3\xab\xe3\x82\xaf\xe3\x82\xa8\xe3\x82\xb9\xe3\x83\x88\xe3\x82\x92\xe5\x8f\x97\xe6\xb3\xa8\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82"
7,"TEXT_CLSGLA150_00262_SEQ_07",
8,"TEXT_CLSGLA150_00262_SEQ_08",
9,"TEXT_CLSGLA150_00262_SEQ_09",
