0,"TEXT_GAIUSA701_00774_SEQ_00","Meffrid will seinen erkrankten Kameraden noch nicht aufgeben."
1,"TEXT_GAIUSA701_00774_SEQ_01","Meffrid hat dich gebeten, die Zutaten f\xc3\xbcr eine Medizin nach altem mhigischem Hausrezept zu besorgen. Erlege vier \x022\x10\xff\tBNpcName\x06\x05\x03\x05\x02\x03 vor den Toren von M\xc3\xbchlenbruch und bringe ihre H\xc3\xb6rner zu Meffrid."
2,"TEXT_GAIUSA701_00774_SEQ_02","Deine Jagd war erfolgreich. \xc3\x9cbergib Meffrid \x022\x14\xff\nEventItem\x03\xf6\x1e\x86\xe4\x03\x05\x02\x03."
3,"TEXT_GAIUSA701_00774_SEQ_03","Die H\xc3\xb6rner der Antilopen in Gridania unterscheiden sich von denen in Meffrids Heimat. Er kann die Medizin daher nicht selbst herstellen. Bringe \x022\x14\xff\nEventItem\x03\xf6\x1e\x86\xe4\x03\x05\x02\x03 zu Buscarron in Buscarrons Horst."
4,"TEXT_GAIUSA701_00774_SEQ_04","Buscarron \xc3\xbcberlie\xc3\x9f dir f\xc3\xbcr die H\xc3\xb6rner Medizin aus seinem Vorrat. Bringe \x022\x14\xff\nEventItem\x03\xf6\x1e\x86\xe5\x02\x05\x02\x03 zu Meffrids Untergebenem Faramund in M\xc3\xbchlenbruch."
5,"TEXT_GAIUSA701_00774_SEQ_05","Dank deiner Medizin wird Galien seine schwere Krankheit \xc3\xbcberleben. Das Vertrauen der Krieger der mhigischen Befreiungsarmee solltest du damit gewonnen zu haben."
6,"TEXT_GAIUSA701_00774_SEQ_06",
7,"TEXT_GAIUSA701_00774_SEQ_07",
8,"TEXT_GAIUSA701_00774_SEQ_08",
9,"TEXT_GAIUSA701_00774_SEQ_09",
10,"TEXT_GAIUSA701_00774_SEQ_10",
11,"TEXT_GAIUSA701_00774_SEQ_11",
12,"TEXT_GAIUSA701_00774_SEQ_12",
13,"TEXT_GAIUSA701_00774_SEQ_13",
14,"TEXT_GAIUSA701_00774_SEQ_14",
15,"TEXT_GAIUSA701_00774_SEQ_15",
16,"TEXT_GAIUSA701_00774_SEQ_16",
17,"TEXT_GAIUSA701_00774_SEQ_17",
18,"TEXT_GAIUSA701_00774_SEQ_18",
19,"TEXT_GAIUSA701_00774_SEQ_19",
20,"TEXT_GAIUSA701_00774_SEQ_20",
21,"TEXT_GAIUSA701_00774_SEQ_21",
22,"TEXT_GAIUSA701_00774_SEQ_22",
23,"TEXT_GAIUSA701_00774_SEQ_23",
24,"TEXT_GAIUSA701_00774_TODO_00","\x022\x14\xff\nEventItem\x06\xf6\x1e\x86\xe4\x03\x05\x02\x03 besorgen"
25,"TEXT_GAIUSA701_00774_TODO_01","Meffrid \x022\x14\xff\nEventItem\x03\xf6\x1e\x86\xe4\x03\x05\x02\x03 geben"
26,"TEXT_GAIUSA701_00774_TODO_02","\x022\x14\xff\nEventItem\x06\xf6\x1e\x86\xe4\x03\x05\x02\x03 zu Buscarron bringen"
27,"TEXT_GAIUSA701_00774_TODO_03","\x02+\x1a\xff\x18\x022\x14\xff\nEventItem\x06\xf6\x1e\x86\xe5\x02\x02\x02\x03\x03 zu Faramund bringen"
28,"TEXT_GAIUSA701_00774_TODO_04",
