0,"TEXT_GAIUSB308_00849_SEQ_00","Im Weinhafen hofft Etgar auf deine Hilfe bei der Beseitigung einiger Monster."
1,"TEXT_GAIUSB308_00849_SEQ_01","Die beim Keltern der Weintrauben anfallenden \xc3\x9cberreste wurden im Fluss entsorgt und haben da zur Vermehrung \x022\x10\xff\tBNpcName\x03\x1b\x03\x03\x02\x03 gef\xc3\xbchrt. T\xc3\xb6te drei dieser Plagegeister."
2,"TEXT_GAIUSB308_00849_SEQ_02","Du hast wie gew\xc3\xbcnscht drei \x022\x10\xff\tBNpcName\x06\x1b\x03\x05\x02\x03 besiegt. Erz\xc3\xa4hle Etgar davon."
3,"TEXT_GAIUSB308_00849_SEQ_03","Etgar sch\xc3\xa4mt sich f\xc3\xbcr die Schattenseiten des Weinkelterns, doch er ist froh, dass du geholfen hast, die sch\xc3\xa4dlichen Auswirkungen zu begrenzen."
4,"TEXT_GAIUSB308_00849_SEQ_04",
5,"TEXT_GAIUSB308_00849_SEQ_05",
6,"TEXT_GAIUSB308_00849_SEQ_06",
7,"TEXT_GAIUSB308_00849_SEQ_07",
8,"TEXT_GAIUSB308_00849_SEQ_08",
9,"TEXT_GAIUSB308_00849_SEQ_09",
10,"TEXT_GAIUSB308_00849_SEQ_10",
11,"TEXT_GAIUSB308_00849_SEQ_11",
12,"TEXT_GAIUSB308_00849_SEQ_12",
13,"TEXT_GAIUSB308_00849_SEQ_13",
14,"TEXT_GAIUSB308_00849_SEQ_14",
15,"TEXT_GAIUSB308_00849_SEQ_15",
16,"TEXT_GAIUSB308_00849_SEQ_16",
17,"TEXT_GAIUSB308_00849_SEQ_17",
18,"TEXT_GAIUSB308_00849_SEQ_18",
19,"TEXT_GAIUSB308_00849_SEQ_19",
20,"TEXT_GAIUSB308_00849_SEQ_20",
21,"TEXT_GAIUSB308_00849_SEQ_21",
22,"TEXT_GAIUSB308_00849_SEQ_22",
23,"TEXT_GAIUSB308_00849_SEQ_23",
24,"TEXT_GAIUSB308_00849_TODO_00","\x022\x10\xff\tBNpcName\x06\x1b\x03\x05\x02\x03 besiegen"
25,"TEXT_GAIUSB308_00849_TODO_01","Mit Etgar sprechen"
26,"TEXT_GAIUSB308_00849_TODO_02",
27,"TEXT_GAIUSB308_00849_TODO_03",
28,"TEXT_GAIUSB308_00849_TODO_04",
29,"TEXT_GAIUSB308_00849_TODO_05",
30,"TEXT_GAIUSB308_00849_TODO_06",
31,"TEXT_GAIUSB308_00849_TODO_07",
32,"TEXT_GAIUSB308_00849_TODO_08",
33,"TEXT_GAIUSB308_00849_TODO_09",
34,"TEXT_GAIUSB308_00849_TODO_10",
35,"TEXT_GAIUSB308_00849_TODO_11",
36,"TEXT_GAIUSB308_00849_TODO_12",
37,"TEXT_GAIUSB308_00849_TODO_13",
38,"TEXT_GAIUSB308_00849_TODO_14",
39,"TEXT_GAIUSB308_00849_TODO_15",
40,"TEXT_GAIUSB308_00849_TODO_16",
41,"TEXT_GAIUSB308_00849_TODO_17",
42,"TEXT_GAIUSB308_00849_TODO_18",
43,"TEXT_GAIUSB308_00849_TODO_19",
44,"TEXT_GAIUSB308_00849_TODO_20",
45,"TEXT_GAIUSB308_00849_TODO_21",
46,"TEXT_GAIUSB308_00849_TODO_22",
47,"TEXT_GAIUSB308_00849_TODO_23",
48,"TEXT_GAIUSB308_00849_ETGAR_000_000","Beim Keltern der Weintrauben fallen leider auch unbrauchbare \xc3\x9cberreste an, die wir zusammen mit dem Abwasser in den Fluss sp\xc3\xbclen."
49,"TEXT_GAIUSB308_00849_ETGAR_000_001","Das hat leider dazu gef\xc3\xbchrt, dass sich im Fluss \x022\x10\xff\tBNpcName\x06\x1b\x03\x05\x02\x03 rasant vermehrt haben. Nun sorgen die Viecher f\xc3\xbcr einigen \xc3\x84rger. Kannst du ein paar von ihnen erlegen? Sagen wir drei?"
50,"TEXT_GAIUSB308_00849_DUMMY_000_010","\xe3\x82\xae\xe3\x82\xac\xe3\x83\xb3\xe3\x83\x88\xe3\x83\xbc\xe3\x83\x89\xe3\x82\x923\xe4\xbd\x93\xe8\xa8\x8e\xe4\xbc\x90"
51,"TEXT_GAIUSB308_00849_DUMMYTODO_000_010","\xef\xbc\x88\xe2\x98\x85\xe6\x9c\xaa\xe4\xbd\xbf\xe7\x94\xa8\xef\xbc\x8f\xe5\x89\x8a\xe9\x99\xa4\xe4\xba\x88\xe5\xae\x9a\xe2\x98\x85\xef\xbc\x89"
52,"TEXT_GAIUSB308_00849_ETGAR_000_020","Danke, dass du den Kr\xc3\xb6ten den Garaus gemacht hast. Das wird Byrglaent freuen! Es tut mir ja leid, dass die Herstellung unseres k\xc3\xb6stlichen Weins auch ihre Schattenseiten hat. Du hast geholfen, die sch\xc3\xa4dlichen Auswirkungen zu begrenzen!"
