0,"TEXT_GAIUSC607_01007_SEQ_00","\xe7\xa0\x82\xe3\x81\xae\xe5\xae\xb6\xe3\x81\xae\xe3\x82\xa6\xe3\x83\xaa\xe3\x82\xa8\xe3\x83\xb3\xe3\x82\xb8\xe3\x82\xa7\xe3\x81\xaf\xe3\x80\x81\xe5\x86\x92\xe9\x99\xba\xe8\x80\x85\xe3\x81\xab\xe9\xa0\xbc\xe3\x81\xbf\xe3\x81\x9f\xe3\x81\x84\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82"
1,"TEXT_GAIUSC607_01007_SEQ_01","\xe3\x82\xb0\xe3\x83\xaa\xe3\x83\x80\xe3\x83\x8b\xe3\x82\xa2\xe3\x81\xae\xe9\xbb\x92\xe8\xa1\xa3\xe6\xa3\xae\xe3\x81\xa7\xe3\x80\x81\xe6\x9c\xaa\xe7\xa2\xba\xe8\xaa\x8d\xe3\x81\xae\xe8\x9b\xae\xe7\xa5\x9e\xe3\x81\x8c\xe7\x9b\xae\xe6\x92\x83\xe3\x81\x95\xe3\x82\x8c\xe3\x81\x9f\xe3\x81\xa8\xe3\x81\x84\xe3\x81\x86\xe3\x80\x82\xe3\x81\xbe\xe3\x81\x9a\xe3\x81\xaf\xe3\x82\xb0\xe3\x83\xaa\xe3\x83\x80\xe3\x83\x8b\xe3\x82\xa2\xe3\x81\xae\xe7\xa5\x9e\xe5\x8b\x87\xe9\x9a\x8a\xe5\x8f\xb8\xe4\xbb\xa4\xe5\xae\xa4\xe3\x81\xab\xe3\x81\x84\xe3\x82\x8b\xe3\x80\x8c\xe3\x83\xaa\xe3\x83\xa5\xe3\x82\xa6\xe3\x82\xa3\xe3\x83\xb3\xe3\x80\x8d\xe3\x81\xa8\xe8\xa9\xb1\xe3\x81\x9d\xe3\x81\x86\xe3\x80\x82"
2,"TEXT_GAIUSC607_01007_SEQ_02","\xe3\x83\xaa\xe3\x83\xa5\xe3\x82\xa6\xe3\x82\xa3\xe3\x83\xb3\xe3\x81\xaf\xe5\x86\x92\xe9\x99\xba\xe8\x80\x85\xe3\x82\x92\xe6\xad\x93\xe8\xbf\x8e\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8c\xe3\x81\x9f\xe3\x80\x82\xe5\x95\x8f\xe9\xa1\x8c\xe3\x81\xae\xe8\x9b\xae\xe7\xa5\x9e\xe3\x81\xa8\xe3\x81\xaf\xe3\x80\x81\xe3\x81\xaf\xe3\x81\x9f\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xa9\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe5\xad\x98\xe5\x9c\xa8\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa0\xe3\x82\x8d\xe3\x81\x86\xe3\x81\x8b\xe2\x80\xa6\xe2\x80\xa6\xe3\x80\x82"
3,"TEXT_GAIUSC607_01007_SEQ_03",
4,"TEXT_GAIUSC607_01007_SEQ_04",
5,"TEXT_GAIUSC607_01007_SEQ_05",
6,"TEXT_GAIUSC607_01007_SEQ_06",
7,"TEXT_GAIUSC607_01007_SEQ_07",
8,"TEXT_GAIUSC607_01007_SEQ_08",
9,"TEXT_GAIUSC607_01007_SEQ_09",
10,"TEXT_GAIUSC607_01007_SEQ_10",
11,"TEXT_GAIUSC607_01007_SEQ_11",
12,"TEXT_GAIUSC607_01007_SEQ_12",
13,"TEXT_GAIUSC607_01007_SEQ_13",
14,"TEXT_GAIUSC607_01007_SEQ_14",
15,"TEXT_GAIUSC607_01007_SEQ_15",
16,"TEXT_GAIUSC607_01007_SEQ_16",
17,"TEXT_GAIUSC607_01007_SEQ_17",
18,"TEXT_GAIUSC607_01007_SEQ_18",
19,"TEXT_GAIUSC607_01007_SEQ_19",
20,"TEXT_GAIUSC607_01007_SEQ_20",
21,"TEXT_GAIUSC607_01007_SEQ_21",
22,"TEXT_GAIUSC607_01007_SEQ_22",
23,"TEXT_GAIUSC607_01007_SEQ_23",
24,"TEXT_GAIUSC607_01007_TODO_00","\xe7\xa5\x9e\xe5\x8b\x87\xe9\x9a\x8a\xe5\x8f\xb8\xe4\xbb\xa4\xe5\xae\xa4\xe3\x81\xae\xe3\x83\xaa\xe3\x83\xa5\xe3\x82\xa6\xe3\x82\xa3\xe3\x83\xb3\xe3\x81\xa8\xe8\xa9\xb1\xe3\x81\x99"
25,"TEXT_GAIUSC607_01007_TODO_01",
26,"TEXT_GAIUSC607_01007_TODO_02",
27,"TEXT_GAIUSC607_01007_TODO_03",
28,"TEXT_GAIUSC607_01007_TODO_04",
29,"TEXT_GAIUSC607_01007_TODO_05",
30,"TEXT_GAIUSC607_01007_TODO_06",
31,"TEXT_GAIUSC607_01007_TODO_07",
32,"TEXT_GAIUSC607_01007_TODO_08",
33,"TEXT_GAIUSC607_01007_TODO_09",
34,"TEXT_GAIUSC607_01007_TODO_10",
35,"TEXT_GAIUSC607_01007_TODO_11",
36,"TEXT_GAIUSC607_01007_TODO_12",
37,"TEXT_GAIUSC607_01007_TODO_13",
38,"TEXT_GAIUSC607_01007_TODO_14",
39,"TEXT_GAIUSC607_01007_TODO_15",
40,"TEXT_GAIUSC607_01007_TODO_16",
41,"TEXT_GAIUSC607_01007_TODO_17",
42,"TEXT_GAIUSC607_01007_TODO_18",
43,"TEXT_GAIUSC607_01007_TODO_19",
44,"TEXT_GAIUSC607_01007_TODO_20",
45,"TEXT_GAIUSC607_01007_TODO_21",
46,"TEXT_GAIUSC607_01007_TODO_22",
47,"TEXT_GAIUSC607_01007_TODO_23",
