0,"TEXT_BANKOB202_01336_SEQ_00","\xe7\xac\xac789\xe6\xb4\x9e\xe7\xa9\xb4\xe5\x9b\xa3\xe3\x81\xae\xe6\x8e\xa1\xe6\x8e\x98\xe5\x9c\xb0\xe3\x81\xae\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x95\xe3\x83\x88\xe3\x83\x9e\xe3\x83\xb3789 \xe3\x83\x9c\xe3\x83\xbb\xe3\x82\xb0\xe3\x81\xaf\xe3\x80\x81\xe5\x80\x92\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x84\xe7\x9b\xb8\xe6\x89\x8b\xe3\x81\x8c\xe3\x81\x84\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82"
1,"TEXT_BANKOB202_01336_SEQ_01","\xe3\x83\x95\xe3\x83\xa5\xe3\x83\xbc\xe3\x82\xb0\xe3\x83\xab\xe3\x83\x9e\xe3\x83\xb313 \xe3\x82\xbe\xe3\x83\xbb\xe3\x82\xac\xe3\x81\xab\xe5\x8d\x94\xe5\x8a\x9b\xe3\x81\x99\xe3\x82\x8b\xe7\xac\xac59\xe6\xb4\x9e\xe7\xa9\xb4\xe5\x9b\xa3\xe3\x81\xae\xe6\x8e\xa1\xe6\x8e\x98\xe5\xb8\xab\xe3\x82\x92\xe5\xbc\xb1\xe3\x82\x89\xe3\x81\x9b\xe3\x81\xa6\xe3\x81\xbb\xe3\x81\x97\xe3\x81\x84\xe3\x81\xa8\xe3\x80\x81\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x95\xe3\x83\x88\xe3\x83\x9e\xe3\x83\xb3789 \xe3\x83\x9c\xe3\x83\xbb\xe3\x82\xb0\xe3\x81\xab\xe9\xa0\xbc\xe3\x81\xbe\xe3\x82\x8c\xe3\x81\x9f\xe3\x80\x82\xe3\x82\xa6\xe3\x83\xbb\xe3\x82\xac\xe3\x83\x9e\xe3\x83\xad\xe6\xad\xa6\xe8\xa3\x85\xe9\x89\xb1\xe5\xb1\xb1\xe3\x81\xa7\xe7\x99\xba\xe7\x94\x9f\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8bF.A.T.E.\xe3\x80\x8e\xe5\x9c\x9f\xe7\xab\x9c\xe3\x81\xae\xe5\xb1\xb1\xe5\xb8\xab\xe3\x80\x8c\xe3\x83\x94\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x9e\xe3\x83\xb359 \xe3\x83\x99\xe3\x83\xbb\xe3\x82\xbc\xe3\x80\x8d \xe3\x80\x8f\xe3\x81\xab\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\x97\xe3\x80\x81\xe8\xb2\xa2\xe7\x8c\xae\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xa7\xe5\xbe\x97\xe3\x82\x89\xe3\x82\x8c\xe3\x82\x8b\xe3\x80\x8c\x02(\x0b\xff\x05Item\xf2\x1eu\x01\x03\xe3\x80\x8d\xe3\x82\x92\xe5\x85\xa5\xe6\x89\x8b\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82\xe5\x85\xa5\xe6\x89\x8b\xe3\x81\x97\xe3\x81\x9f\x02(\x0b\xff\x05Item\xf2\x1eu\x01\x03\xe3\x81\xaf\xe3\x80\x81\xe7\xac\xac789\xe6\xb4\x9e\xe7\xa9\xb4\xe5\x9b\xa3\xe3\x81\xae\xe6\x8e\xa1\xe6\x8e\x98\xe5\x9c\xb0\xe3\x81\xae\xe3\x80\x8c\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x95\xe3\x83\x88\xe3\x83\x9e\xe3\x83\xb3789 \xe3\x83\x9c\xe3\x83\xbb\xe3\x82\xb0\xe3\x80\x8d\xe3\x81\xab\xe6\xb8\xa1\xe3\x81\x9d\xe3\x81\x86\xe3\x80\x82"
2,"TEXT_BANKOB202_01336_SEQ_02","\xe8\xb2\xa2\xe7\x8c\xae\xe3\x81\x97\xe3\x81\x9f\xe8\xa8\xbc\xe3\x81\xa7\xe3\x81\x82\xe3\x82\x8b\x02(\x0b\xff\x05Item\xf2\x1eu\x01\x03\xe3\x82\x92\xe3\x80\x81\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x95\xe3\x83\x88\xe3\x83\x9e\xe3\x83\xb3789 \xe3\x83\x9c\xe3\x83\xbb\xe3\x82\xb0\xe3\x81\xab\xe6\xb8\xa1\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe5\xbd\xbc\xe3\x81\xaf\xe3\x80\x81\x02(\x0f\xff\tBNpcName\xf2\x05\xf4\x01\x03\xe3\x81\x8c\xe9\x87\x91\xe9\x89\xb1\xe3\x82\x92\xe6\x8e\xa2\xe3\x81\x97\xe3\x81\x82\xe3\x81\xa6\xe3\x80\x81\xe3\x83\x95\xe3\x83\xa5\xe3\x83\xbc\xe3\x82\xb0\xe3\x83\xab\xe3\x83\x9e\xe3\x83\xb313 \xe3\x82\xbe\xe3\x83\xbb\xe3\x82\xac\xe3\x81\x8c\xe6\x9b\xb4\xe3\x81\xab\xe5\x8f\xb0\xe9\xa0\xad\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x82\x92\xe6\x81\x90\xe3\x82\x8c\xe3\x81\xa6\xe3\x81\x84\xe3\x81\x9f\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\xe7\xac\xac59\xe6\xb4\x9e\xe7\xa9\xb4\xe5\x9b\xa3\xe3\x81\x8c\xe5\x86\x8d\xe3\x81\xb3\xe5\x8b\xa2\xe5\x8a\x9b\xe3\x82\x92\xe5\xa2\x97\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8d\xe3\x81\x9f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\xaf\xe3\x80\x81\xe5\x8d\x94\xe5\x8a\x9b\xe3\x81\x97\xe3\x81\xa6\xe9\x98\xbb\xe6\xad\xa2\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
3,"TEXT_BANKOB202_01336_SEQ_03",
4,"TEXT_BANKOB202_01336_SEQ_04",
5,"TEXT_BANKOB202_01336_SEQ_05",
6,"TEXT_BANKOB202_01336_SEQ_06",
7,"TEXT_BANKOB202_01336_SEQ_07",
8,"TEXT_BANKOB202_01336_SEQ_08",
9,"TEXT_BANKOB202_01336_SEQ_09",
10,"TEXT_BANKOB202_01336_SEQ_10",
11,"TEXT_BANKOB202_01336_SEQ_11",
12,"TEXT_BANKOB202_01336_SEQ_12",
13,"TEXT_BANKOB202_01336_SEQ_13",
14,"TEXT_BANKOB202_01336_SEQ_14",
15,"TEXT_BANKOB202_01336_SEQ_15",
16,"TEXT_BANKOB202_01336_SEQ_16",
17,"TEXT_BANKOB202_01336_SEQ_17",
18,"TEXT_BANKOB202_01336_SEQ_18",
19,"TEXT_BANKOB202_01336_SEQ_19",
20,"TEXT_BANKOB202_01336_SEQ_20",
21,"TEXT_BANKOB202_01336_SEQ_21",
22,"TEXT_BANKOB202_01336_SEQ_22",
23,"TEXT_BANKOB202_01336_SEQ_23",
24,"TEXT_BANKOB202_01336_TODO_00","\xe3\x82\xa6\xe3\x83\xbb\xe3\x82\xac\xe3\x83\x9e\xe3\x83\xad\xe6\xad\xa6\xe8\xa3\x85\xe9\x89\xb1\xe5\xb1\xb1\xe3\x81\xaeF.A.T.E.\xe3\x81\xab\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\x97\xe3\x81\xa6\xe5\x85\xa5\xe6\x89\x8b\xe3\x81\x97\xe3\x81\x9f\x02\x10\x01\x03 \x02(\x0b\xff\x05Item\xf2\x1eu\x01\x03\xe3\x82\x92\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x95\xe3\x83\x88\xe3\x83\x9e\xe3\x83\xb3789 \xe3\x83\x9c\xe3\x83\xbb\xe3\x82\xb0\xe3\x81\xab\xe6\xb8\xa1\xe3\x81\x99"
25,"TEXT_BANKOB202_01336_TODO_01",
26,"TEXT_BANKOB202_01336_TODO_02",
27,"TEXT_BANKOB202_01336_TODO_03",
28,"TEXT_BANKOB202_01336_TODO_04",
29,"TEXT_BANKOB202_01336_TODO_05",
30,"TEXT_BANKOB202_01336_TODO_06",
31,"TEXT_BANKOB202_01336_TODO_07",
32,"TEXT_BANKOB202_01336_TODO_08",
33,"TEXT_BANKOB202_01336_TODO_09",
34,"TEXT_BANKOB202_01336_TODO_10",
35,"TEXT_BANKOB202_01336_TODO_11",
36,"TEXT_BANKOB202_01336_TODO_12",
37,"TEXT_BANKOB202_01336_TODO_13",
38,"TEXT_BANKOB202_01336_TODO_14",
39,"TEXT_BANKOB202_01336_TODO_15",
40,"TEXT_BANKOB202_01336_TODO_16",
41,"TEXT_BANKOB202_01336_TODO_17",
42,"TEXT_BANKOB202_01336_TODO_18",
43,"TEXT_BANKOB202_01336_TODO_19",
44,"TEXT_BANKOB202_01336_TODO_20",
45,"TEXT_BANKOB202_01336_TODO_21",
46,"TEXT_BANKOB202_01336_TODO_22",
47,"TEXT_BANKOB202_01336_TODO_23",
48,"TEXT_BANKOB202_01336_BOGU_000_000","\xe3\x83\xa0\xe3\x83\xa0\xe3\x83\xa0\xe2\x80\xa6\xe2\x80\xa6\xe5\x9b\xb0\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xab\xe3\x80\x80\xe3\x81\xaa\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x83\xbc\xe3\x81\x9e\xe3\x80\x82\x02\x10\x01\x03\xe3\x82\xbe\xe3\x83\xbb\xe3\x82\xac\xe3\x82\x81\xe3\x81\x8c\xe3\x80\x80\xe3\x81\x88\xe3\x82\x89\xe3\x81\x8f\xe9\xbc\xbb\xe3\x81\xae\xe5\x88\xa9\xe3\x81\x8f\xe3\x83\xa4\xe3\x83\xbc\xe3\x83\x84\xe3\x82\x92\x02\x10\x01\x03\xe4\xbb\xb2\xe9\x96\x93\xe3\x81\xab\xe3\x80\x80\xe5\xbc\x95\xe3\x81\x8d\xe5\x85\xa5\xe3\x82\x8c\xe3\x81\x9f\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa7\xe3\x81\x99\xe3\x83\xbc\xe3\x81\x9e\xef\xbc\x81"
49,"TEXT_BANKOB202_01336_BOGU_000_001","\xe3\x81\x9d\xe3\x81\xae\xe8\x80\x85\xe3\x81\xae\xe5\x90\x8d\xe3\x81\xaf\xe3\x80\x8c\x02(\x0f\xff\tBNpcName\xf2\x05\xf4\x01\x03\xe3\x80\x8d\xe3\x80\x82\x02\x10\x01\x03\xe3\x81\x93\xe3\x82\x8c\xe3\x81\xbe\xe3\x83\xbc\xe3\x81\xa7\xe3\x80\x80\xe9\x8b\xad\xe3\x81\x84\xe5\x97\x85\xe8\xa6\x9a\xe3\x81\xa7\xe3\x80\x80\xe3\x81\x84\xe3\x81\x8f\xe3\x81\xa4\xe3\x82\x82\xe3\x81\xae\xe9\x87\x91\xe9\x89\xb1\xe3\x82\x92\xe6\x8e\x98\xe3\x82\x8a\xe5\xbd\x93\xe3\x81\xa6\xe3\x83\xbc\xe3\x81\x9f\x02\x10\x01\x03\xe5\x90\x8d\xe3\x81\x86\xe3\x81\xa6\xe3\x81\xae\xe6\x8e\xa1\xe6\x8e\x98\xe5\xb8\xab\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa7\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x83\xbc\xe3\x81\x9e\xe3\x80\x82"
