0,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_1","Salut petiot\x02\x08\x08\xe9\x05\xff\x02e\xff\x01\x03, et bienvenue \xc3\xa0 l'auberge de l'Artimon, l'endroit qui sent bon les go\xc3\xa9mons. T'aimerais s\xc3\xbbrement dormir ici, mais on a pas d'chambres pour la bleusaille. Bouahaha\x02\x1d\x01\x03!"
1,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_2","J'te conseille d'aller rouler ta bosse et d'aider un peu plus la populace, plut\xc3\xb4t que de te tra\xc3\xaener comme une limace. Quand t'auras fait tes preuves, je suis certain que ce vieux Baderon te laissera coucher chez nous."
2,"TEXT_WARPINNLIMSALOMINSA_Q1_000_1","Que voulez-vous savoir\x02\x1d\x01\x03?"
3,"TEXT_WARPINNLIMSALOMINSA_A1_000_1","Quel genre d'endroit est l'Artimon\x02\x1d\x01\x03?"
4,"TEXT_WARPINNLIMSALOMINSA_A1_000_2","Rien en particulier"
5,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_3","L'Artimon est un \xc3\xa9tablissement qui offre le g\xc3\xaete aux voyageurs de passage \xc3\xa0 Limsa Lominsa, rien que \xc3\xa7a."
6,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_4","Nos chambres sont bien plus spacieuses que les cabines des navires, et ici, \xc3\xa7a ne tangue pas, donc pas de mal de mer. Bouahaha\x02\x1d\x01\x03!"
7,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_5","Une pr\xc3\xa9cision quand m\xc3\xaame, nous n'acceptons que les gens qui ont \xc3\xa9t\xc3\xa9 reconnus par la guilde des aventuriers, et on aime pas les usuriers."
8,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_6","Donc, quand tu te seras fait un nom \xc3\xa0 force de donner des coups de main ici et l\xc3\xa0, il y aura s\xc3\xbbrement une chambre pour toi dans cette auberge."
9,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_10","Salut petiot\x02\x08\x08\xe9\x05\xff\x02e\xff\x01\x03, et bienvenue \xc3\xa0 l'Artimon, la seule auberge o\xc3\xb9 il y a un timon. Qu'est-ce que j'peux faire pour toi, aujourd'hui\x02\x1d\x01\x03?"
10,"TEXT_WARPINNLIMSALOMINSA_Q2_000_1","Que voulez-vous faire\x02\x1d\x01\x03?"
11,"TEXT_WARPINNLIMSALOMINSA_A2_000_1","Aller dans ma chambre"
12,"TEXT_WARPINNLIMSALOMINSA_A2_000_2","\xef\xbc\x88\xe2\x98\x85\xe6\x9c\xaa\xe4\xbd\xbf\xe7\x94\xa8\xef\xbc\x8f\xe5\x89\x8a\xe9\x99\xa4\xe4\xba\x88\xe5\xae\x9a\xe2\x98\x85\xef\xbc\x89"
13,"TEXT_WARPINNLIMSALOMINSA_A2_000_3","En savoir plus sur les interdictions"
14,"TEXT_WARPINNLIMSALOMINSA_A2_000_4","Savoir quel genre d'endroit est l'Artimon"
15,"TEXT_WARPINNLIMSALOMINSA_A2_000_5","Rien en particulier"
16,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_11","Dans ce cas, fais de beaux r\xc3\xaaves. Bouahaha\x02\x1d\x01\x03!"
17,"TEXT_WARPINNLIMSALOMINSA_MYTESYN_000_12","\xef\xbc\x88\xe2\x98\x85\xe6\x9c\xaa\xe4\xbd\xbf\xe7\x94\xa8\xef\xbc\x8f\xe5\x89\x8a\xe9\x99\xa4\xe4\xba\x88\xe5\xae\x9a\xe2\x98\x85\xef\xbc\x89"
18,"TEXT_WARPINNLIMSALOMINSA_SYSTEM_000_13","\xef\xbc\x88\xe2\x98\x85\xe6\x9c\xaa\xe4\xbd\xbf\xe7\x94\xa8\xef\xbc\x8f\xe5\x89\x8a\xe9\x99\xa4\xe4\xba\x88\xe5\xae\x9a\xe2\x98\x85\xef\xbc\x89"
